firstName,lastName,geniusMarket,teamMarketTo,conferenceShortNameTo,teamMarketFrom,conferenceShortNameFrom,rawFullName,mins,ptsScored,reb,ast,stl,blk
Mara,Neira,App State,San Francisco,WCC,App State,Sun Belt,mara neira,531.0699999999999,214,62,36,44,0
Teryn,Gardner,Boise St.,Gonzaga,WCC,Boise St.,MWC,teryn gardner,369.11,104,65,17,16,1
Sierra,Lichtie,Cal Poly,Gonzaga,WCC,Cal Poly,Big West,sierra lichtie,842.5500000000001,296,185,44,35,9
Jess,Lawson,Central Mich.,LMU (CA),WCC,Central Mich.,MAC,jessenia lawson,883.4300000000002,340,266,98,46,3
Lova,Lagerlid,Colorado,LMU (CA),WCC,Colorado,Big 12,lova lagerlid,9.41,0,2,0,1,0
Charlece,Ohiaeri,DePaul,Saint Mary's (CA),WCC,DePaul,Big East,charlece ohiaeri,224.37,56,34,10,4,3
Andjela,Matic,Duquesne,LMU (CA),WCC,Duquesne,A-10,andjela matic,635.5500000000001,193,95,56,19,5
Taija,Sta. Maria,Fresno St.,Pepperdine,WCC,Fresno St.,MWC,taija sta maria,363.0799999999999,64,33,46,12,2
Kylee,Fox,Fresno St.,Santa Clara,WCC,Fresno St.,MWC,kylee fox,1076.15,293,111,70,34,7
Ashley,Hawkins,Gardner-Webb,Santa Clara,WCC,Gardner-Webb,Big South,ashley hawkins,1017.6199999999999,529,113,137,34,1
Helen,Holley,Michigan St.,San Diego,WCC,Michigan St.,Big Ten,helen holley,36.56,4,9,1,1,1
Ana,Milanovic,Middle Tenn.,LMU (CA),WCC,Middle Tenn.,CUSA,ana milanovic,21.62,2,4,1,1,0
Michelle,Ugwah,Morehead St.,San Francisco,WCC,Morehead St.,OVC,michelle ugwah,516.83,145,117,4,20,17
Lizzy,Williamson,NC State,Oregon St.,WCC,NC State,ACC,lizzy williamson,34.019999999999996,8,10,0,1,0
Nevaeh,Ferrara Horne,North Dakota,San Francisco,WCC,North Dakota,Summit,nevaeh ferrara horne,727.15,165,52,30,22,12
Sophie,Glancey,Northern Ariz.,Santa Clara,WCC,Northern Ariz.,Big Sky,sophie glancey,1015.0100000000001,623,326,39,31,61
Reilly,Clark,Northern Ariz.,Santa Clara,WCC,Northern Ariz.,Big Sky,reilly clark,28.270000000000003,5,6,0,1,0
Ava,Schmidt,Northern Ariz.,Santa Clara,WCC,Northern Ariz.,Big Sky,ava schmidt,316.56000000000006,105,85,12,8,20
Lauren,Glazier,Pacific,Washington St.,WCC,Pacific,WCC,lauren glazier,441.67,146,66,15,15,26
Winner,Bartholomew,Rider,Pacific,WCC,Rider,MAAC,winner bartholomew,498.2800000000001,233,107,21,16,6
Nicole,Rodriguez,SMU,Portland,WCC,SMU,ACC,nicole rodriguez,575.38,227,54,23,18,2
Lina,Falk,Sacramento St.,Pepperdine,WCC,Sacramento St.,Big Sky,lina falk,984.28,271,135,22,42,10
Zeryhia,Aokuso,Saint Mary's (CA),Gonzaga,WCC,Saint Mary's (CA),WCC,zeryhia aokuso,650.34,238,78,92,32,5
Maia,Jones,Saint Mary's (CA),Santa Clara,WCC,Saint Mary's (CA),WCC,maia jones,877.4100000000001,367,89,82,51,9
Meghan,Fiso,San Diego St.,Pepperdine,WCC,San Diego St.,MWC,meghan fiso,412.1,58,40,17,9,5
Georgia,Grigoropoulou,Santa Clara,Saint Mary's (CA),WCC,Santa Clara,WCC,georgia grigoropoulou,419.45000000000005,121,138,24,5,20
Candy,Edokpaigbe,Seattle U,San Francisco,WCC,Seattle U,WAC,candy edokpaigbe,880.73,324,147,44,53,18
Malia,Latu,Santa Clara,Saint Mary's (CA),WCC,Santa Clara,WCC,malia latu,843.93,306,118,69,28,9
Aniya,Hooker,Siena,Santa Clara,WCC,Siena,MAAC,aniya hooker,739.59,151,56,61,35,9
Ivana,Krajina,Texas Tech,LMU (CA),WCC,Texas Tech,Big 12,ivana krajina,10.879999999999999,0,1,0,0,0
Olivia,Williams,UC Irvine,San Francisco,WCC,UC Irvine,Big West,olivia williams,796.7600000000001,230,82,24,34,15
Elli,Guiney,UNLV,Pepperdine,WCC,UNLV,MWC,elli guiney,59.41,23,5,2,2,0
Nene,Sow,Utah,Oregon St.,WCC,Utah,Big 12,nene sow,20.44,6,6,0,0,1
Kylie,Ray,Utah,San Diego,WCC,Utah,Big 12,kylie ray,90.92,6,11,9,4,0
Ivory,Finley,Utah St.,Pepperdine,WCC,Utah St.,MWC,ivory finley,726.1700000000001,177,90,31,25,3
Taylor,Smith,Weber St.,Gonzaga,WCC,Weber St.,Big Sky,taylor smith,799.65,331,155,63,36,35
Jenna,Villa,Washington St.,Oregon St.,WCC,Washington St.,WCC,jenna villa,743.52,187,85,50,19,9
Mackenzie,Chatfield,Western Ky.,Washington St.,WCC,Western Ky.,CUSA,mackenzie chatfield,572.32,165,39,67,31,1
Irune,Orio,Xavier,Pepperdine,WCC,Xavier,Big East,irune orio,554.44,109,98,28,9,3